Start,Finish,Steps (count)
29/11/14 0:00,30/11/14 0:00,21427
30/11/14 0:00,1/12/14 0:00,4321
1/12/14 0:00,2/12/14 0:00,10473
2/12/14 0:00,3/12/14 0:00,15784
3/12/14 0:00,4/12/14 0:00,2783
4/12/14 0:00,5/12/14 0:00,18196
5/12/14 0:00,6/12/14 0:00,6529
6/12/14 0:00,7/12/14 0:00,2944
7/12/14 0:00,8/12/14 0:00,6515
8/12/14 0:00,9/12/14 0:00,9598
9/12/14 0:00,10/12/14 0:00,21448
10/12/14 0:00,11/12/14 0:00,10488
11/12/14 0:00,12/12/14 0:00,6252
12/12/14 0:00,13/12/14 0:00,7087
13/12/14 0:00,14/12/14 0:00,15242
14/12/14 0:00,15/12/14 0:00,14396
15/12/14 0:00,16/12/14 0:00,4151
16/12/14 0:00,17/12/14 0:00,12621
17/12/14 0:00,18/12/14 0:00,9846
18/12/14 0:00,19/12/14 0:00,7315
19/12/14 0:00,20/12/14 0:00,12247
20/12/14 0:00,21/12/14 0:00,6835
21/12/14 0:00,22/12/14 0:00,5374
22/12/14 0:00,23/12/14 0:00,5892
23/12/14 0:00,24/12/14 0:00,9640
24/12/14 0:00,25/12/14 0:00,10806
25/12/14 0:00,26/12/14 0:00,6696
26/12/14 0:00,27/12/14 0:00,9960
27/12/14 0:00,28/12/14 0:00,13496
28/12/14 0:00,29/12/14 0:00,8488
29/12/14 0:00,30/12/14 0:00,6031
30/12/14 0:00,31/12/14 0:00,5376
31/12/14 0:00,1/1/15 0:00,12538
1/1/15 0:00,2/1/15 0:00,8030
2/1/15 0:00,3/1/15 0:00,7352
3/1/15 0:00,4/1/15 0:00,7892
4/1/15 0:00,5/1/15 0:00,4479
5/1/15 0:00,6/1/15 0:00,10499
6/1/15 0:00,7/1/15 0:00,17999
7/1/15 0:00,8/1/15 0:00,9291
8/1/15 0:00,9/1/15 0:00,11534
9/1/15 0:00,10/1/15 0:00,11877
10/1/15 0:00,11/1/15 0:00,9217
11/1/15 0:00,12/1/15 0:00,4282
12/1/15 0:00,13/1/15 0:00,11696
13/1/15 0:00,14/1/15 0:00,9421
14/1/15 0:00,15/1/15 0:00,10225
15/1/15 0:00,16/1/15 0:00,4831
16/1/15 0:00,17/1/15 0:00,9756
17/1/15 0:00,18/1/15 0:00,5352
18/1/15 0:00,19/1/15 0:00,17693
19/1/15 0:00,20/1/15 0:00,10323
20/1/15 0:00,21/1/15 0:00,6395
21/1/15 0:00,22/1/15 0:00,13091
22/1/15 0:00,23/1/15 0:00,6199
23/1/15 0:00,24/1/15 0:00,5652
24/1/15 0:00,25/1/15 0:00,7235
25/1/15 0:00,26/1/15 0:00,8906
26/1/15 0:00,27/1/15 0:00,8300
27/1/15 0:00,28/1/15 0:00,13257
28/1/15 0:00,29/1/15 0:00,12175
29/1/15 0:00,30/1/15 0:00,12639
30/1/15 0:00,31/1/15 0:00,11499
31/1/15 0:00,1/2/15 0:00,16036
1/2/15 0:00,2/2/15 0:00,7346
2/2/15 0:00,3/2/15 0:00,8110
3/2/15 0:00,4/2/15 0:00,3579
4/2/15 0:00,5/2/15 0:00,4545
5/2/15 0:00,6/2/15 0:00,3749
6/2/15 0:00,7/2/15 0:00,7061
7/2/15 0:00,8/2/15 0:00,9720
8/2/15 0:00,9/2/15 0:00,19113
9/2/15 0:00,10/2/15 0:00,11442
10/2/15 0:00,11/2/15 0:00,14300
11/2/15 0:00,12/2/15 0:00,12271
12/2/15 0:00,13/2/15 0:00,5771
13/2/15 0:00,14/2/15 0:00,19518
14/2/15 0:00,15/2/15 0:00,5596
15/2/15 0:00,16/2/15 0:00,5486
16/2/15 0:00,17/2/15 0:00,9303
17/2/15 0:00,18/2/15 0:00,9611
18/2/15 0:00,19/2/15 0:00,9998
19/2/15 0:00,20/2/15 0:00,6575
20/2/15 0:00,21/2/15 0:00,3121
21/2/15 0:00,22/2/15 0:00,2658
22/2/15 0:00,23/2/15 0:00,8604
23/2/15 0:00,24/2/15 0:00,13009
24/2/15 0:00,25/2/15 0:00,10466
25/2/15 0:00,26/2/15 0:00,4945
26/2/15 0:00,27/2/15 0:00,6195
27/2/15 0:00,28/2/15 0:00,6567
28/2/15 0:00,1/3/15 0:00,8697
1/3/15 0:00,2/3/15 0:00,2802
2/3/15 0:00,3/3/15 0:00,8304
3/3/15 0:00,4/3/15 0:00,8923
4/3/15 0:00,5/3/15 0:00,16247
5/3/15 0:00,6/3/15 0:00,13472
6/3/15 0:00,7/3/15 0:00,4697
7/3/15 0:00,8/3/15 0:00,4096
8/3/15 0:00,9/3/15 0:00,13007
9/3/15 0:00,10/3/15 0:00,16832
10/3/15 0:00,11/3/15 0:00,13716
11/3/15 0:00,12/3/15 0:00,8442
12/3/15 0:00,13/3/15 0:00,12054
13/3/15 0:00,14/3/15 0:00,6315
14/3/15 0:00,15/3/15 0:00,9459
15/3/15 0:00,16/3/15 0:00,7696
16/3/15 0:00,17/3/15 0:00,7533
17/3/15 0:00,18/3/15 0:00,11426
18/3/15 0:00,19/3/15 0:00,12895
19/3/15 0:00,20/3/15 0:00,14740
20/3/15 0:00,21/3/15 0:00,10893
21/3/15 0:00,22/3/15 0:00,10958
22/3/15 0:00,23/3/15 0:00,7449
23/3/15 0:00,24/3/15 0:00,12029
24/3/15 0:00,25/3/15 0:00,9425
25/3/15 0:00,26/3/15 0:00,12842
26/3/15 0:00,27/3/15 0:00,13322
27/3/15 0:00,28/3/15 0:00,7858
28/3/15 0:00,29/3/15 0:00,11563
29/3/15 0:00,30/3/15 0:00,8340
30/3/15 0:00,31/3/15 0:00,4950
31/3/15 0:00,1/4/15 0:00,11231
1/4/15 0:00,2/4/15 0:00,5994
2/4/15 0:00,3/4/15 0:00,7128
3/4/15 0:00,4/4/15 0:00,5144
4/4/15 0:00,5/4/15 0:00,1485
5/4/15 0:00,6/4/15 0:00,3429
6/4/15 0:00,7/4/15 0:00,5630
7/4/15 0:00,8/4/15 0:00,2019
8/4/15 0:00,9/4/15 0:00,7433
9/4/15 0:00,10/4/15 0:00,6882
10/4/15 0:00,11/4/15 0:00,9392
11/4/15 0:00,12/4/15 0:00,9266
12/4/15 0:00,13/4/15 0:00,8845
13/4/15 0:00,14/4/15 0:00,12562
14/4/15 0:00,15/4/15 0:00,14319
15/4/15 0:00,16/4/15 0:00,17257
16/4/15 0:00,17/4/15 0:00,9170
17/4/15 0:00,18/4/15 0:00,6603
18/4/15 0:00,19/4/15 0:00,10628
19/4/15 0:00,20/4/15 0:00,9082
20/4/15 0:00,21/4/15 0:00,8912
21/4/15 0:00,22/4/15 0:00,9666
22/4/15 0:00,23/4/15 0:00,9382
23/4/15 0:00,24/4/15 0:00,10356
24/4/15 0:00,25/4/15 0:00,6503
25/4/15 0:00,26/4/15 0:00,4217
26/4/15 0:00,27/4/15 0:00,8552
27/4/15 0:00,28/4/15 0:00,9281
28/4/15 0:00,29/4/15 0:00,9076
29/4/15 0:00,30/4/15 0:00,7712
30/4/15 0:00,1/5/15 0:00,12656
1/5/15 0:00,2/5/15 0:00,7759
2/5/15 0:00,3/5/15 0:00,4373
3/5/15 0:00,4/5/15 0:00,2323
4/5/15 0:00,5/5/15 0:00,7086
5/5/15 0:00,6/5/15 0:00,6989
6/5/15 0:00,7/5/15 0:00,7182
7/5/15 0:00,8/5/15 0:00,3608
8/5/15 0:00,9/5/15 0:00,5874
9/5/15 0:00,10/5/15 0:00,10225
10/5/15 0:00,11/5/15 0:00,4572
11/5/15 0:00,12/5/15 0:00,13536
12/5/15 0:00,13/5/15 0:00,7780
13/5/15 0:00,14/5/15 0:00,8027
14/5/15 0:00,15/5/15 0:00,8730
15/5/15 0:00,16/5/15 0:00,7159
16/5/15 0:00,17/5/15 0:00,13226
17/5/15 0:00,18/5/15 0:00,7365
18/5/15 0:00,19/5/15 0:00,12765
19/5/15 0:00,20/5/15 0:00,9221
20/5/15 0:00,21/5/15 0:00,11449
21/5/15 0:00,22/5/15 0:00,7233
22/5/15 0:00,23/5/15 0:00,3927
23/5/15 0:00,24/5/15 0:00,4002
24/5/15 0:00,25/5/15 0:00,4732
25/5/15 0:00,26/5/15 0:00,5651
26/5/15 0:00,27/5/15 0:00,5193
27/5/15 0:00,28/5/15 0:00,2848
28/5/15 0:00,29/5/15 0:00,10781
29/5/15 0:00,30/5/15 0:00,3948
30/5/15 0:00,31/5/15 0:00,3297
31/5/15 0:00,1/6/15 0:00,5659
1/6/15 0:00,2/6/15 0:00,7172
2/6/15 0:00,3/6/15 0:00,3874
3/6/15 0:00,4/6/15 0:00,12960
4/6/15 0:00,5/6/15 0:00,5347
5/6/15 0:00,6/6/15 0:00,5286
6/6/15 0:00,7/6/15 0:00,11714
7/6/15 0:00,8/6/15 0:00,5367
8/6/15 0:00,9/6/15 0:00,5040
9/6/15 0:00,10/6/15 0:00,5802
10/6/15 0:00,11/6/15 0:00,4182
11/6/15 0:00,12/6/15 0:00,4589
12/6/15 0:00,13/6/15 0:00,10195
13/6/15 0:00,14/6/15 0:00,10021
14/6/15 0:00,15/6/15 0:00,5153
15/6/15 0:00,16/6/15 0:00,7022
16/6/15 0:00,17/6/15 0:00,6809
17/6/15 0:00,18/6/15 0:00,6408
18/6/15 0:00,19/6/15 0:00,11148
19/6/15 0:00,20/6/15 0:00,5811
20/6/15 0:00,21/6/15 0:00,6693
21/6/15 0:00,22/6/15 0:00,20972
22/6/15 0:00,23/6/15 0:00,19558
23/6/15 0:00,24/6/15 0:00,27508
24/6/15 0:00,25/6/15 0:00,29706
25/6/15 0:00,26/6/15 0:00,43507
26/6/15 0:00,27/6/15 0:00,21680
27/6/15 0:00,28/6/15 0:00,23316
28/6/15 0:00,29/6/15 0:00,19849
29/6/15 0:00,30/6/15 0:00,18057
30/6/15 0:00,1/7/15 0:00,13214
1/7/15 0:00,2/7/15 0:00,18557
2/7/15 0:00,3/7/15 0:00,15777
3/7/15 0:00,4/7/15 0:00,8712
4/7/15 0:00,5/7/15 0:00,22918
5/7/15 0:00,6/7/15 0:00,26815
6/7/15 0:00,7/7/15 0:00,38742
7/7/15 0:00,8/7/15 0:00,22090
8/7/15 0:00,9/7/15 0:00,26539
9/7/15 0:00,10/7/15 0:00,17765
10/7/15 0:00,11/7/15 0:00,18692
11/7/15 0:00,12/7/15 0:00,17849
12/7/15 0:00,13/7/15 0:00,15252
13/7/15 0:00,14/7/15 0:00,3089
14/7/15 0:00,15/7/15 0:00,4558
15/7/15 0:00,16/7/15 0:00,11160
16/7/15 0:00,17/7/15 0:00,4509
17/7/15 0:00,18/7/15 0:00,5143
18/7/15 0:00,19/7/15 0:00,2438
19/7/15 0:00,20/7/15 0:00,10780
20/7/15 0:00,21/7/15 0:00,5009
21/7/15 0:00,22/7/15 0:00,8541
22/7/15 0:00,23/7/15 0:00,3113
23/7/15 0:00,24/7/15 0:00,4779
24/7/15 0:00,25/7/15 0:00,12033
25/7/15 0:00,26/7/15 0:00,3626
26/7/15 0:00,27/7/15 0:00,11533
27/7/15 0:00,28/7/15 0:00,5413
28/7/15 0:00,29/7/15 0:00,16820
29/7/15 0:00,30/7/15 0:00,7637
30/7/15 0:00,31/7/15 0:00,12650
31/7/15 0:00,1/8/15 0:00,14611
1/8/15 0:00,2/8/15 0:00,16513
2/8/15 0:00,3/8/15 0:00,7216
3/8/15 0:00,4/8/15 0:00,12567
4/8/15 0:00,5/8/15 0:00,7328
5/8/15 0:00,6/8/15 0:00,15339
6/8/15 0:00,7/8/15 0:00,15996
7/8/15 0:00,8/8/15 0:00,13120
8/8/15 0:00,9/8/15 0:00,4670
9/8/15 0:00,10/8/15 0:00,12275
10/8/15 0:00,11/8/15 0:00,7980
11/8/15 0:00,12/8/15 0:00,16172
12/8/15 0:00,13/8/15 0:00,10625
13/8/15 0:00,14/8/15 0:00,9563
14/8/15 0:00,15/8/15 0:00,11054
15/8/15 0:00,16/8/15 0:00,3470
16/8/15 0:00,17/8/15 0:00,13588
17/8/15 0:00,18/8/15 0:00,10421
18/8/15 0:00,19/8/15 0:00,7010
19/8/15 0:00,20/8/15 0:00,5709
20/8/15 0:00,21/8/15 0:00,3999
21/8/15 0:00,22/8/15 0:00,11224
22/8/15 0:00,23/8/15 0:00,8207
23/8/15 0:00,24/8/15 0:00,12896
24/8/15 0:00,25/8/15 0:00,6227
25/8/15 0:00,26/8/15 0:00,6666
26/8/15 0:00,27/8/15 0:00,11842
27/8/15 0:00,28/8/15 0:00,3811
28/8/15 0:00,29/8/15 0:00,5888
29/8/15 0:00,30/8/15 0:00,4171
30/8/15 0:00,31/8/15 0:00,11875
31/8/15 0:00,1/9/15 0:00,9498
1/9/15 0:00,2/9/15 0:00,10862
2/9/15 0:00,3/9/15 0:00,7548
3/9/15 0:00,4/9/15 0:00,11570
4/9/15 0:00,5/9/15 0:00,6999
5/9/15 0:00,6/9/15 0:00,15723
6/9/15 0:00,7/9/15 0:00,13956
7/9/15 0:00,8/9/15 0:00,5811
8/9/15 0:00,9/9/15 0:00,15924
9/9/15 0:00,10/9/15 0:00,8537
10/9/15 0:00,11/9/15 0:00,11627
11/9/15 0:00,12/9/15 0:00,12299
12/9/15 0:00,13/9/15 0:00,7137
13/9/15 0:00,14/9/15 0:00,9094
14/9/15 0:00,15/9/15 0:00,4703
15/9/15 0:00,16/9/15 0:00,2095
16/9/15 0:00,17/9/15 0:00,7301
17/9/15 0:00,18/9/15 0:00,5691
18/9/15 0:00,19/9/15 0:00,9894
19/9/15 0:00,20/9/15 0:00,2026
20/9/15 0:00,21/9/15 0:00,11472
21/9/15 0:00,22/9/15 0:00,5232
22/9/15 0:00,23/9/15 0:00,9173
23/9/15 0:00,24/9/15 0:00,3600
24/9/15 0:00,25/9/15 0:00,4368
25/9/15 0:00,26/9/15 0:00,5766
26/9/15 0:00,27/9/15 0:00,5789
27/9/15 0:00,28/9/15 0:00,3745
28/9/15 0:00,29/9/15 0:00,4411
29/9/15 0:00,30/9/15 0:00,4253
30/9/15 0:00,1/10/15 0:00,9484
1/10/15 0:00,2/10/15 0:00,7291
2/10/15 0:00,3/10/15 0:00,15883
3/10/15 0:00,4/10/15 0:00,6746
4/10/15 0:00,5/10/15 0:00,10479
5/10/15 0:00,6/10/15 0:00,9903
6/10/15 0:00,7/10/15 0:00,7009
7/10/15 0:00,8/10/15 0:00,8666
8/10/15 0:00,9/10/15 0:00,8227
9/10/15 0:00,10/10/15 0:00,13199
10/10/15 0:00,11/10/15 0:00,14806
11/10/15 0:00,12/10/15 0:00,17366
12/10/15 0:00,13/10/15 0:00,9091
13/10/15 0:00,14/10/15 0:00,8750
14/10/15 0:00,15/10/15 0:00,9995
15/10/15 0:00,16/10/15 0:00,6683
16/10/15 0:00,17/10/15 0:00,14402
17/10/15 0:00,18/10/15 0:00,15084
18/10/15 0:00,19/10/15 0:00,14314
19/10/15 0:00,20/10/15 0:00,7724
20/10/15 0:00,21/10/15 0:00,8015
21/10/15 0:00,22/10/15 0:00,13675
22/10/15 0:00,23/10/15 0:00,6242
23/10/15 0:00,24/10/15 0:00,18661
24/10/15 0:00,25/10/15 0:00,4776
25/10/15 0:00,26/10/15 0:00,21625
26/10/15 0:00,27/10/15 0:00,8458
27/10/15 0:00,28/10/15 0:00,3102
28/10/15 0:00,29/10/15 0:00,8671
29/10/15 0:00,30/10/15 0:00,11757
30/10/15 0:00,31/10/15 0:00,10061
31/10/15 0:00,1/11/15 0:00,12382
1/11/15 0:00,2/11/15 0:00,11159
2/11/15 0:00,3/11/15 0:00,9082
3/11/15 0:00,4/11/15 0:00,12613
4/11/15 0:00,5/11/15 0:00,11072
5/11/15 0:00,6/11/15 0:00,7722
6/11/15 0:00,7/11/15 0:00,18130
7/11/15 0:00,8/11/15 0:00,5846
8/11/15 0:00,9/11/15 0:00,15003
9/11/15 0:00,10/11/15 0:00,6700
10/11/15 0:00,11/11/15 0:00,5529
11/11/15 0:00,12/11/15 0:00,6236
12/11/15 0:00,13/11/15 0:00,7599
13/11/15 0:00,14/11/15 0:00,7594
14/11/15 0:00,15/11/15 0:00,18779
15/11/15 0:00,16/11/15 0:00,13796
16/11/15 0:00,17/11/15 0:00,9498
17/11/15 0:00,18/11/15 0:00,9300
18/11/15 0:00,19/11/15 0:00,10288
19/11/15 0:00,20/11/15 0:00,8118
20/11/15 0:00,21/11/15 0:00,12290
21/11/15 0:00,22/11/15 0:00,6215
22/11/15 0:00,23/11/15 0:00,13985
23/11/15 0:00,24/11/15 0:00,13911
24/11/15 0:00,25/11/15 0:00,9940
25/11/15 0:00,26/11/15 0:00,2955
26/11/15 0:00,27/11/15 0:00,6991
27/11/15 0:00,28/11/15 0:00,9372
28/11/15 0:00,29/11/15 0:00,10527
29/11/15 0:00,30/11/15 0:00,14041
30/11/15 0:00,1/12/15 0:00,4787
1/12/15 0:00,2/12/15 0:00,4202
2/12/15 0:00,3/12/15 0:00,3985
3/12/15 0:00,4/12/15 0:00,7856
4/12/15 0:00,5/12/15 0:00,8058
5/12/15 0:00,6/12/15 0:00,3814
6/12/15 0:00,7/12/15 0:00,10084
7/12/15 0:00,8/12/15 0:00,9823
8/12/15 0:00,9/12/15 0:00,6910
9/12/15 0:00,10/12/15 0:00,10591
10/12/15 0:00,11/12/15 0:00,8419
11/12/15 0:00,12/12/15 0:00,11206
12/12/15 0:00,13/12/15 0:00,6541
13/12/15 0:00,14/12/15 0:00,14511
14/12/15 0:00,15/12/15 0:00,4362
15/12/15 0:00,16/12/15 0:00,6669
16/12/15 0:00,17/12/15 0:00,3809
17/12/15 0:00,18/12/15 0:00,6568
18/12/15 0:00,19/12/15 0:00,7613
19/12/15 0:00,20/12/15 0:00,8366
20/12/15 0:00,21/12/15 0:00,5301
21/12/15 0:00,22/12/15 0:00,10992
22/12/15 0:00,23/12/15 0:00,6532
23/12/15 0:00,24/12/15 0:00,9286
24/12/15 0:00,25/12/15 0:00,7574
25/12/15 0:00,26/12/15 0:00,4683
26/12/15 0:00,27/12/15 0:00,4271
27/12/15 0:00,28/12/15 0:00,10992
28/12/15 0:00,29/12/15 0:00,8075
29/12/15 0:00,30/12/15 0:00,12522
30/12/15 0:00,31/12/15 0:00,9402
31/12/15 0:00,1/1/16 0:00,15585
1/1/16 0:00,2/1/16 0:00,7312
2/1/16 0:00,3/1/16 0:00,5519
3/1/16 0:00,4/1/16 0:00,10199
4/1/16 0:00,5/1/16 0:00,5286
5/1/16 0:00,6/1/16 0:00,8189
6/1/16 0:00,7/1/16 0:00,6037
7/1/16 0:00,8/1/16 0:00,6303
8/1/16 0:00,9/1/16 0:00,7503
9/1/16 0:00,10/1/16 0:00,7315
10/1/16 0:00,11/1/16 0:00,20918
11/1/16 0:00,12/1/16 0:00,4835
12/1/16 0:00,13/1/16 0:00,13544
13/1/16 0:00,14/1/16 0:00,9290
14/1/16 0:00,15/1/16 0:00,5279
15/1/16 0:00,16/1/16 0:00,3513
16/1/16 0:00,17/1/16 0:00,12745
17/1/16 0:00,18/1/16 0:00,15610
18/1/16 0:00,19/1/16 0:00,6554
19/1/16 0:00,20/1/16 0:00,8159
20/1/16 0:00,21/1/16 0:00,9024
21/1/16 0:00,22/1/16 0:00,4751
22/1/16 0:00,23/1/16 0:00,7834
23/1/16 0:00,24/1/16 0:00,7018
24/1/16 0:00,25/1/16 0:00,13281
25/1/16 0:00,26/1/16 0:00,12728
26/1/16 0:00,27/1/16 0:00,6896
27/1/16 0:00,28/1/16 0:00,18373
28/1/16 0:00,29/1/16 0:00,15759
29/1/16 0:00,30/1/16 0:00,10108
30/1/16 0:00,31/1/16 0:00,7768
31/1/16 0:00,1/2/16 0:00,13427
1/2/16 0:00,2/2/16 0:00,4643
2/2/16 0:00,3/2/16 0:00,6967
3/2/16 0:00,4/2/16 0:00,10958
4/2/16 0:00,5/2/16 0:00,17010
5/2/16 0:00,6/2/16 0:00,5454
6/2/16 0:00,7/2/16 0:00,1833
7/2/16 0:00,8/2/16 0:00,13258
8/2/16 0:00,9/2/16 0:00,11775
9/2/16 0:00,10/2/16 0:00,13994
10/2/16 0:00,11/2/16 0:00,13817
11/2/16 0:00,12/2/16 0:00,10509
12/2/16 0:00,13/2/16 0:00,10836
13/2/16 0:00,14/2/16 0:00,14358
14/2/16 0:00,15/2/16 0:00,14149
15/2/16 0:00,16/2/16 0:00,4916
16/2/16 0:00,17/2/16 0:00,8867
17/2/16 0:00,18/2/16 0:00,4685
18/2/16 0:00,19/2/16 0:00,7699
